Removed Member From Class: ClassName=PowerNet Member=AU_3V3
Added Pin To Net: NetName=+3V3 Pin=C11-1
Added Pin To Net: NetName=+3V3 Pin=C12-2
Added Pin To Net: NetName=+3V3 Pin=C14-2
Added Pin To Net: NetName=+3V3 Pin=C16-2
Added Pin To Net: NetName=+3V3 Pin=C17-2
Added Pin To Net: NetName=+3V3 Pin=C40-1
Added Pin To Net: NetName=+3V3 Pin=L3-1
Added Pin To Net: NetName=+3V3 Pin=R14-2
Added Pin To Net: NetName=+3V3 Pin=R16-2
Added Pin To Net: NetName=+3V3 Pin=R17-2
Added Pin To Net: NetName=+3V3 Pin=U2-2
Added Pin To Net: NetName=+3V3 Pin=U2-3
Added Pin To Net: NetName=+3V3 Pin=U3-8
Added Pin To Net: NetName=+3V3 Pin=U6-2
Added Pin To Net: NetName=+3V3 Pin=U6-2
